Ticket_ID,Ticket_Date,Business_Unit,Location,Request_Type,Priority,Channel,Assigned_Team,Status,Resolution_Hours,SLA_Target_Hours,SLA_Breached,Rework_Count,Customer_Satisfaction,FTE_Cost_per_Hour,Estimated_Cost,Month,Month_No,Quarter,Weekday
OPS-100105,2025-06-12,Operations,Gurugram,System Issue,High,Portal,Finance Ops,Escalated,12.9,12,Yes,2,4.1,450,5805.0,Jun,6,Q2,Thursday
OPS-102637,2025-03-27,HR,Noida,Vendor Query,Medium,Portal,Finance Ops,Pending,5.0,24,No,0,4.9,400,2000.0,Mar,3,Q1,Thursday
OPS-103326,2025-01-28,Operations,Mumbai,Compliance Request,Low,Portal,IT Support,Closed,5.3,48,No,0,5.0,320,1696.0,Jan,1,Q1,Tuesday
OPS-104474,2025-05-19,Operations,Hyderabad,Invoice Query,Medium,Phone,Vendor Management,Closed,10.1,24,No,1,4.5,450,4545.0,May,5,Q2,Monday
OPS-102400,2025-09-27,HR,Gurugram,Compliance Request,Medium,Email,HR Ops,Pending,6.2,24,No,0,5.0,450,2790.0,Sep,9,Q3,Saturday
OPS-103796,2025-04-12,HR,Pune,Access Request,Low,Teams,MIS,Closed,14.3,48,No,1,4.3,280,4004.0,Apr,4,Q2,Saturday
OPS-101142,2025-06-20,IT,,Vendor Query,Low,Email,HR Ops,Closed,11.5,48,No,0,4.8,280,3220.0,Jun,6,Q2,Friday
OPS-102882,2025-08-06,Customer Support,Pune,System Issue,Low,Email,Finance Ops,Closed,7.1,48,No,0,5.0,280,1988.0,Aug,8,Q3,Wednesday
OPS-100101,2025-05-16,Procurement,Noida,System Issue,Low,Email,IT Support,Closed,31.3,48,No,0,4.8,280,8764.0,May,5,Q2,Friday
OPS-104027,2025-11-23,HR,Hyderabad,Data Correction,Medium,Email,Vendor Management,Pending,7.6,24,No,0,4.9,280,2128.0,Nov,11,Q4,Sunday
OPS-101382,2025-04-23,Customer Support,Noida,Vendor Query,Low,Portal,MIS,Closed,14.2,48,No,0,4.6,400,5680.0,Apr,4,Q2,Wednesday
OPS-100130,2025-08-06,Sales,Hyderabad,Data Correction,Low,Portal,IT Support,Closed,12.3,48,No,0,4.8,350,4305.0,Aug,8,Q3,Wednesday
OPS-103752,2025-04-10,Finance,Hyderabad,Invoice Query,Low,Email,IT Support,Closed,18.2,48,No,0,4.4,350,6370.0,Apr,4,Q2,Thursday
OPS-103127,2025-07-25,IT,Noida,Compliance Request,Medium,Email,MIS,Closed,12.8,24,No,0,3.9,350,4480.0,Jul,7,Q3,Friday
OPS-101244,2025-09-23,Procurement,Hyderabad,System Issue,Low,Email,Vendor Management,Closed,4.9,48,No,0,4.7,320,1568.0,Sep,9,Q3,Tuesday
OPS-103783,2025-11-09,Customer Support,Hyderabad,Employee Query,Medium,Phone,Finance Ops,Closed,3.8,24,No,2,4.6,350,1330.0,Nov,11,Q4,Sunday
OPS-101466,2025-11-24,Customer Support,Bengaluru,Employee Query,Low,Email,MIS,Closed,10.0,48,No,1,4.6,350,3500.0,Nov,11,Q4,Monday
OPS-100354,2025-10-08,Sales,Gurugram,Vendor Query,High,Portal,Finance Ops,Closed,26.3,12,Yes,0,5.0,450,11835.0,Oct,10,Q4,Wednesday
OPS-101133,2025-10-29,Operations,Hyderabad,Compliance Request,High,Email,Vendor Management,Closed,12.6,12,Yes,1,4.2,280,3528.0,Oct,10,Q4,Wednesday
OPS-102231,2025-02-18,Operations,Mumbai,Vendor Query,Medium,Email,Vendor Management,Escalated,10.7,24,No,2,4.2,320,3424.0,Feb,2,Q1,Tuesday
OPS-102184,2025-02-08,Procurement,Bengaluru,Report Request,Low,Email,MIS,Escalated,48.4,48,Yes,2,2.7,450,21780.0,Feb,2,Q1,Saturday
OPS-103484,2025-04-01,IT,Bengaluru,Invoice Query,Low,Teams,HR Ops,Escalated,13.8,48,No,2,4.1,280,3864.0,Apr,4,Q2,Tuesday
OPS-104062,2025-12-20,Procurement,Chennai,Employee Query,Medium,Portal,HR Ops,Closed,8.4,24,No,0,4.6,450,3780.0,Dec,12,Q4,Saturday
OPS-103999,2025-06-05,Sales,Hyderabad,Invoice Query,Medium,Portal,Vendor Management,Closed,10.3,24,No,0,4.6,280,2884.0,Jun,6,Q2,Thursday
OPS-104806,2025-07-06,HR,Pune,Invoice Query,Medium,Email,IT Support,Closed,34.1,24,Yes,1,3.8,320,10912.0,Jul,7,Q3,Sunday
OPS-101730,2025-03-16,Finance,Mumbai,Access Request,Medium,Teams,MIS,Closed,11.6,24,No,1,4.6,320,3712.0,Mar,3,Q1,Sunday
OPS-104061,2025-10-05,Operations,Bengaluru,Data Correction,Low,Email,Vendor Management,Closed,3.9,48,No,0,4.9,450,1755.0,Oct,10,Q4,Sunday
OPS-101043,2025-08-01,Procurement,Gurugram,Compliance Request,Medium,Teams,HR Ops,Closed,7.9,24,No,0,4.8,350,2765.0,Aug,8,Q3,Friday
OPS-101281,2025-06-10,Finance,Chennai,Data Correction,Low,Portal,Vendor Management,Closed,12.4,48,No,0,4.9,450,5580.0,Jun,6,Q2,Tuesday
OPS-101587,2025-04-08,Procurement,Mumbai,Invoice Query,Medium,Email,Vendor Management,Closed,19.7,24,No,0,4.3,450,8865.0,Apr,4,Q2,Tuesday
OPS-103463,2025-05-19,Operations,Mumbai,Report Request,Critical,Email,Vendor Management,Closed,6.2,4,Yes,0,4.8,280,1736.0,May,5,Q2,Monday
OPS-103584,2025-08-20,Operations,Mumbai,System Issue,Low,Email,Vendor Management,Closed,15.2,48,No,0,4.9,400,6080.0,Aug,8,Q3,Wednesday
OPS-102032,2025-07-04,IT,Noida,Invoice Query,Low,Teams,IT Support,Pending,25.6,48,No,0,4.3,320,8192.0,Jul,7,Q3,Friday
OPS-100273,2025-05-27,Finance,Mumbai,Data Correction,Low,Email,Vendor Management,Closed,4.8,48,No,0,5.0,350,1680.0,May,5,Q2,Tuesday
OPS-104880,2025-06-15,Finance,Bengaluru,Employee Query,Low,Email,IT Support,Escalated,10.5,48,No,2,4.7,450,4725.0,Jun,6,Q2,Sunday
OPS-103120,2025-03-24,Operations,Hyderabad,Vendor Query,Low,Phone,Finance Ops,Pending,15.9,48,No,0,5.0,400,6360.0,Mar,3,Q1,Monday
OPS-103248,2025-12-07,Operations,Chennai,System Issue,Medium,Email,MIS,Closed,13.7,24,No,1,4.4,350,4795.0,Dec,12,Q4,Sunday
OPS-103169,2025-02-19,Sales,Hyderabad,System Issue,High,Email,IT Support,Pending,17.9,12,Yes,1,4.5,450,8055.0,Feb,2,Q1,Wednesday
OPS-104505,2025-10-18,Procurement,Noida,Data Correction,Low,Email,HR Ops,Closed,10.3,48,No,0,4.0,450,4635.0,Oct,10,Q4,Saturday
OPS-100943,2025-10-16,IT,Chennai,System Issue,Medium,Portal,Finance Ops,Closed,8.7,24,No,0,4.7,450,3915.0,Oct,10,Q4,Thursday
OPS-104871,2025-07-10,Customer Support,Gurugram,Employee Query,Low,Email,HR Ops,Closed,5.2,48,No,0,5.0,400,2080.0,Jul,7,Q3,Thursday
OPS-103564,2025-10-13,Sales,Hyderabad,Access Request,Medium,Email,IT Support,Closed,8.7,24,No,0,4.9,280,2436.0,Oct,10,Q4,Monday
OPS-102485,2025-01-13,Operations,Chennai,Compliance Request,Medium,Portal,Vendor Management,Closed,7.8,24,No,0,4.7,320,2496.0,Jan,1,Q1,Monday
OPS-101241,2025-12-25,Finance,Bengaluru,Vendor Query,Low,Email,IT Support,Closed,8.2,48,No,1,4.3,350,2870.0,Dec,12,Q4,Thursday
OPS-100795,2025-10-13,Operations,Bengaluru,Compliance Request,Low,Email,Vendor Management,Escalated,29.2,48,No,2,3.2,350,10220.0,Oct,10,Q4,Monday
OPS-103366,2025-12-01,Procurement,Noida,Report Request,Medium,Phone,HR Ops,Closed,22.2,24,No,0,4.0,400,8880.0,Dec,12,Q4,Monday
OPS-101460,2025-09-27,Customer Support,Chennai,Employee Query,Medium,Email,HR Ops,Closed,2.8,24,No,0,4.7,280,784.0,Sep,9,Q3,Saturday
OPS-100412,2025-09-21,IT,Noida,Invoice Query,Low,Email,IT Support,Escalated,26.4,48,No,2,4.6,280,7392.0,Sep,9,Q3,Sunday
OPS-104416,2025-10-17,Finance,Pune,Vendor Query,Medium,Email,MIS,Escalated,18.9,24,No,2,4.0,350,6615.0,Oct,10,Q4,Friday
OPS-101759,2025-01-27,Customer Support,Chennai,Data Correction,Low,Portal,Vendor Management,Closed,7.8,48,No,0,5.0,280,2184.0,Jan,1,Q1,Monday
OPS-104320,2025-04-08,IT,Mumbai,Invoice Query,Medium,Email,Vendor Management,Closed,8.3,24,No,0,4.8,400,3320.0,Apr,4,Q2,Tuesday
OPS-103880,2025-01-17,Procurement,Gurugram,Compliance Request,High,Teams,HR Ops,Closed,2.8,12,No,1,4.4,280,784.0,Jan,1,Q1,Friday
OPS-102464,2025-04-26,HR,Bengaluru,Access Request,Medium,Email,Vendor Management,Pending,21.6,24,No,0,4.6,400,8640.0,Apr,4,Q2,Saturday
OPS-103765,2025-08-04,Customer Support,Gurugram,Access Request,Medium,Email,HR Ops,Closed,6.1,24,No,0,5.0,280,1708.0,Aug,8,Q3,Monday
OPS-104113,2025-03-10,IT,Gurugram,System Issue,Low,Phone,IT Support,Pending,7.8,48,No,0,5.0,450,3510.0,Mar,3,Q1,Monday
OPS-100034,2025-09-28,Operations,,Vendor Query,Low,Email,IT Support,Closed,16.3,48,No,3,3.7,450,7335.0,Sep,9,Q3,Sunday
OPS-101365,2025-05-02,Procurement,Mumbai,Report Request,High,Email,Vendor Management,Closed,8.3,12,No,1,5.0,350,2905.0,May,5,Q2,Friday
OPS-102302,2025-10-18,Finance,Mumbai,Report Request,High,Phone,HR Ops,Closed,20.2,12,Yes,0,4.2,350,7070.0,Oct,10,Q4,Saturday
OPS-102264,2025-02-11,IT,Chennai,System Issue,Medium,Email,IT Support,Escalated,24.3,24,Yes,4,3.2,280,6804.0,Feb,2,Q1,Tuesday
OPS-104649,2025-07-25,Customer Support,Mumbai,Vendor Query,Medium,Phone,HR Ops,Closed,12.3,24,No,1,4.3,450,5535.0,Jul,7,Q3,Friday
OPS-101363,2025-06-22,Procurement,Hyderabad,Compliance Request,Low,Portal,IT Support,Closed,5.4,48,No,2,4.3,450,2430.0,Jun,6,Q2,Sunday
OPS-101713,2025-09-08,Sales,Gurugram,Vendor Query,Medium,Portal,IT Support,Closed,14.3,24,No,2,3.8,350,5005.0,Sep,9,Q3,Monday
OPS-104834,2025-07-06,Procurement,Noida,Employee Query,Low,Teams,Vendor Management,Closed,16.0,48,No,0,4.7,450,7200.0,Jul,7,Q3,Sunday
OPS-103721,2025-08-23,HR,Gurugram,Data Correction,Medium,Portal,Finance Ops,Closed,3.6,24,No,2,4.7,320,1152.0,Aug,8,Q3,Saturday
OPS-101671,2025-01-13,Sales,Mumbai,Report Request,Low,Teams,IT Support,Closed,27.8,48,No,1,4.4,280,7784.0,Jan,1,Q1,Monday
OPS-104240,2025-08-28,Customer Support,Pune,Vendor Query,Medium,Email,Finance Ops,Closed,7.2,24,No,0,5.0,320,2304.0,Aug,8,Q3,Thursday
OPS-100403,2025-02-27,Procurement,Pune,Invoice Query,High,Email,IT Support,Escalated,20.6,12,Yes,2,3.8,320,6592.0,Feb,2,Q1,Thursday
OPS-102005,2025-11-30,Customer Support,Bengaluru,Report Request,Low,Email,MIS,Closed,15.2,48,No,1,4.6,400,6080.0,Nov,11,Q4,Sunday
OPS-100200,2025-10-22,Procurement,Noida,Report Request,Medium,Email,Finance Ops,Pending,27.7,24,Yes,0,3.8,450,12465.0,Oct,10,Q4,Wednesday
OPS-100323,2025-11-13,Operations,Mumbai,System Issue,Medium,Phone,IT Support,Closed,3.1,24,No,0,4.7,350,1085.0,Nov,11,Q4,Thursday
OPS-104952,2025-03-29,Finance,Pune,Report Request,Low,Teams,HR Ops,Closed,9.1,48,No,1,3.9,450,4095.0,Mar,3,Q1,Saturday
OPS-102190,2025-02-05,Procurement,Bengaluru,System Issue,Low,Email,Vendor Management,Escalated,9.5,48,No,2,3.9,350,3325.0,Feb,2,Q1,Wednesday
OPS-102604,2025-09-30,Procurement,Chennai,Vendor Query,Medium,Email,HR Ops,Closed,3.9,24,No,0,5.0,320,1248.0,Sep,9,Q3,Tuesday
OPS-101873,2025-01-12,Finance,Mumbai,Compliance Request,Critical,Email,HR Ops,Closed,9.7,4,Yes,0,3.9,320,3104.0,Jan,1,Q1,Sunday
OPS-104646,2025-04-28,HR,Pune,Invoice Query,Medium,Email,MIS,Closed,3.0,24,No,0,4.7,350,1050.0,Apr,4,Q2,Monday
OPS-103389,2025-07-21,Operations,Noida,Invoice Query,Critical,Email,MIS,Closed,22.2,4,Yes,2,3.7,450,9990.0,Jul,7,Q3,Monday
OPS-101822,2025-08-30,HR,Gurugram,Employee Query,High,Teams,Finance Ops,Closed,7.6,12,No,0,4.5,350,2660.0,Aug,8,Q3,Saturday
OPS-101774,2025-11-12,Finance,Pune,Compliance Request,Critical,Email,IT Support,Closed,4.7,4,Yes,0,4.3,320,1504.0,Nov,11,Q4,Wednesday
OPS-104807,2025-08-20,Finance,Hyderabad,Access Request,Low,Email,MIS,Closed,31.9,48,No,1,4.1,450,14355.0,Aug,8,Q3,Wednesday
OPS-102526,2025-08-30,HR,Chennai,Vendor Query,Low,Email,HR Ops,Closed,3.4,48,No,2,4.5,450,1530.0,Aug,8,Q3,Saturday
OPS-104514,2025-06-02,HR,Noida,Data Correction,Low,Teams,IT Support,Closed,15.1,48,No,0,4.7,400,6040.0,Jun,6,Q2,Monday
OPS-102743,2025-06-08,Procurement,Noida,Access Request,Medium,Portal,Vendor Management,Closed,5.3,24,No,0,4.9,350,1855.0,Jun,6,Q2,Sunday
OPS-102071,2025-01-01,Operations,Pune,Compliance Request,Low,Email,MIS,Closed,14.5,48,No,0,4.8,320,4640.0,Jan,1,Q1,Wednesday
OPS-102805,2025-03-10,IT,Mumbai,Invoice Query,Low,Email,,Closed,9.1,48,No,0,4.7,400,3640.0,Mar,3,Q1,Monday
OPS-102193,2025-11-06,Finance,Bengaluru,Report Request,Medium,Teams,HR Ops,Pending,7.4,24,No,0,4.7,320,2368.0,Nov,11,Q4,Thursday
OPS-104126,2025-05-18,Procurement,Hyderabad,Compliance Request,High,Portal,HR Ops,Closed,2.2,12,No,0,5.0,280,616.0,May,5,Q2,Sunday
OPS-104869,2025-01-28,Customer Support,Bengaluru,Compliance Request,Medium,Portal,IT Support,Closed,1.1,24,No,0,5.0,400,440.0,Jan,1,Q1,Tuesday
OPS-101418,2025-05-11,Operations,Gurugram,Invoice Query,Medium,Portal,IT Support,Pending,3.6,24,No,0,4.8,350,1260.0,May,5,Q2,Sunday
OPS-102772,2025-04-28,Procurement,Mumbai,System Issue,Low,Portal,HR Ops,Closed,6.4,48,No,0,4.8,320,2048.0,Apr,4,Q2,Monday
OPS-100701,2025-08-16,Customer Support,Chennai,Vendor Query,Low,Email,Finance Ops,Escalated,8.0,48,No,1,4.7,350,2800.0,Aug,8,Q3,Saturday
OPS-102736,2025-07-05,Operations,Gurugram,Data Correction,High,Email,MIS,Closed,21.4,12,Yes,1,4.7,400,8560.0,Jul,7,Q3,Saturday
OPS-100132,2025-12-25,Sales,Gurugram,Compliance Request,Low,Teams,HR Ops,Closed,2.2,48,No,0,4.7,280,616.0,Dec,12,Q4,Thursday
OPS-102961,2025-06-27,Finance,Noida,Compliance Request,Medium,Email,HR Ops,Closed,21.6,24,No,0,3.8,450,9720.0,Jun,6,Q2,Friday
OPS-101919,2025-04-06,Sales,Mumbai,Compliance Request,Low,Email,IT Support,Escalated,29.9,48,No,2,3.1,450,13455.0,Apr,4,Q2,Sunday
OPS-101324,2025-12-25,Operations,Bengaluru,Report Request,Medium,Email,Finance Ops,Closed,8.8,24,No,0,5.0,450,3960.0,Dec,12,Q4,Thursday
OPS-102099,2025-03-23,Operations,Hyderabad,System Issue,Low,Email,Finance Ops,Pending,11.5,48,No,0,4.8,450,5175.0,Mar,3,Q1,Sunday
OPS-101651,2025-01-07,Sales,Gurugram,Vendor Query,Medium,Email,MIS,Pending,15.7,24,No,0,4.9,400,6280.0,Jan,1,Q1,Tuesday
OPS-103872,2025-11-08,Sales,Hyderabad,Data Correction,Medium,Portal,HR Ops,Closed,7.3,24,No,0,4.7,400,2920.0,Nov,11,Q4,Saturday
OPS-100841,2025-02-20,Operations,Pune,Access Request,Low,Portal,IT Support,Closed,10.4,48,No,0,4.4,320,3328.0,Feb,2,Q1,Thursday
OPS-103385,2025-02-16,Customer Support,Noida,System Issue,Medium,Phone,Vendor Management,Closed,13.9,24,No,1,4.2,450,6255.0,Feb,2,Q1,Sunday
